Year,Region Code,Region Name,Number of arriving foreigners by province of border gate and mode of transport : Air way,Number of arriving foreigners by province of border gate and mode of transport : Rail way,Number of arriving foreigners by province of border gate and mode of transport : Road way,Number of arriving foreigners by province of border gate and mode of transport : Sea way,Number of arriving foreigners by province of border gate and mode of transport : Excursion
1995,TR322,Denizli,-,-,-,-,-
1996,TR322,Denizli,-,-,-,-,-
1997,TR322,Denizli,-,-,-,-,-
1998,TR322,Denizli,-,-,-,-,-
1999,TR322,Denizli,-,-,-,-,-
2000,TR322,Denizli,-,-,-,-,-
2001,TR322,Denizli,-,-,-,-,-
2002,TR322,Denizli,-,-,-,-,-
2003,TR322,Denizli,-,-,-,-,-
2004,TR322,Denizli,472,-,-,-,-
2005,TR322,Denizli,99,-,-,-,-
2006,TR322,Denizli,5,-,-,-,-
2007,TR322,Denizli,11,-,-,-,-
2008,TR322,Denizli,4,-,-,-,-
2009,TR322,Denizli,23,-,-,-,-
2010,TR322,Denizli,2,-,-,-,-
2011,TR322,Denizli,47,-,-,-,-
2012,TR322,Denizli,45,-,-,-,-
2013,TR322,Denizli,61,-,-,-,-
2014,TR322,Denizli,39,-,-,-,-
2015,TR322,Denizli,58,-,-,-,-
2016,TR322,Denizli,4843,-,-,-,-
2017,TR322,Denizli,46044,-,-,-,-
2018,TR322,Denizli,42524,-,-,-,-
2019,TR322,Denizli,58880,-,-,-,-
2020,TR322,Denizli,2583,-,-,-,-
2021,TR322,Denizli,17840,-,-,-,-
2022,TR322,Denizli,24319,-,-,-,-
